,Tournament,from,to,Organizer(s),Tournament director,Chief Arbiter,Deputy Chief Arbiter,Arbiter,Location,FED,Last update ,teams,n,Rd,Rd-Akt,DB-Key,System,Month
0,"Турнір з класичних шахів серед дорослих, юнаків та дівчатз нагоди Дня Незалежності України",20210820,20210824,,,Черняк Олена Євгеніївна,Портянко Т. В.,,м. Ковель,UKR,26.08.2021  11:43 ,0,32,9,9,574878,Schweizer System                                            ,8
1,"30-річчя Незалежність Червоноград (""В"")",20210824,20210824,"міськрада, кафе Dream Park",Гаврилюк В.І.,Лещишак І.С.,Чугай В.О.,Монянчин В.,Червоноград,UKR,25.08.2021  13:51 ,0,20,9,9,575661,Schweizer System                                            ,8
2,Chervonograd Nezalezhnist-2021,20210824,20210824,"міськрада, кафе ""Борщ""",Гаврилюк В.І.,Лещишак І.С.,Вахула А.В.,Чугай В.О.,Червоноград,UKR,25.08.2021  13:48 ,0,20,9,9,575425,Schweizer System                                            ,8
3,Chess fest in Ispas-2021,20210824,20210824,"34158944 Bilych, Ivan (UKR)","34158944 Bilych, Ivan (UKR)","14182610 Palahitska, Nataliia (UKR)	","34158944 Bilych, Ivan (UKR)				",,Ispas,UKR,24.08.2021  18:33 ,0,33,9,9,573934,Schweizer System                                            ,8
4,30th anniversary of Ukraine's independence(blitz) ,20210824,20210824,Mykolaiv Regional Federation Of Chess,"Goroshchenko, Dmitry(UKR) 14115336","IA Khamzin, Ruslan(UKR) 14118505","IA Larkin, Sergii(UKR) 14175630",,"Mykolaiv, Faleevskaya str., 1A",UKR,24.08.2021  18:23 ,0,80,11,11,573990,Schweizer System                                            ,8
5,Чемпіонат Донецької області з бліцу,20210824,20210824,,,Мартинков О.В.,,,Краматорськ,UKR,24.08.2021  13:17 ,0,38,9,9,575434,Schweizer System                                            ,8
6,I Всеукраїнський шаховий кубок сестер Музичук,20210822,20210822,,"Solovyov, Oleksandr 14121492","Grabinsky, Vladimir 14107074","Matviychuk, Bohdan 14198835",,Stryi,UKR,23.08.2021  17:30 ,0,148,9,9,571438,Schweizer System                                            ,8
7,Чемпіонат Донецької області з рапіду,20210823,20210823,,,Мартинков О.В.,,,Краматорськ,UKR,23.08.2021  16:51 ,0,35,9,9,575303,Schweizer System                                            ,8
8,"22.08.2021. ""КУБОК НЕЗАЛЕЖНОСТІ - 2021"" RAPID U18м. Київ",20210822,20210822,Chess School,"14104482 Semenov, Dmitri (UKR) IM","14104482 Semenov, Dmitri (UKR) IM",,,"DreamTown2, Kyiv, Obolon avenue 21",UKR,22.08.2021  17:19 ,0,87,9,9,571872,Schweizer System                                            ,8
9,Першість шахової школи В.Іванчука з нормою 2 розряду 21-22.08.2021,20210821,20210822,"ЛОШФ, Шахова школа В.Іванчука","Криницька, Оксана (UKR)","IA, FT, Хрипач, Артем (UKR), /14138239/",,"Улан, Олександр (UKR)",Львів,UKR,22.08.2021  15:10 ,0,15,9,9,573736,Schweizer System                                            ,8
